티커,종목명,현재가($),수익률(%)
ANPA,Rich Sparkle Holdings Limited Ordinary Shares,80.2,248.7
ERAS,Erasca Inc. Common Stock,11.24,222.06
ALMS,Alumis Inc. Common Stock,26.35,217.09
CRVS,Corvus Pharmaceuticals Inc. Common Stock,20.82,206.63
IBRX,ImmunityBio Inc. Common Stock,5.88,182.69
SNDK,Sandisk Corporation Common Stock,584.55,113.28
RAPT,RAPT Therapeutics Inc. Common Stock,57.78,93.76
ELVN,Enliven Therapeutics Inc. Common Stock,27.82,82.91
VTYX,Ventyx Biosciences Inc. Common Stock,13.91,77.88
ASM,Avino Silver & Gold Mines Ltd. Common Shares (Canada),10.38,71.29
TROX,Tronox Holdings plc Ordinary Shares (UK),7.45,61.61
BIOA,BioAge Labs Inc. Common Stock,20.15,59.67
ARKO,ARKO Corp. Common Stock,6.66,52.05
ENPH,Enphase Energy Inc. Common Stock,51.67,51.97
USAR,USA Rare Earth Inc. Class A Common Stock,23.53,48.92
SLAB,Silicon Laboratories Inc. Common Stock,203.41,47.47
POWL,Powell Industries Inc. Common Stock,527.3,45.91
NEOG,Neogen Corporation Common Stock,10.54,45.18
UCTT,Ultra Clean Holdings Inc. Common Stock,42.98,44.96
STX,Seagate Technology Holdings PLC Ordinary Shares (Ireland),418.63,44.44
PKST,Peakstone Realty Trust Common Shares,20.72,43.99
SKM,SK Telecom Co. Ltd. Common Stock,29.65,43.65
WDC,Western Digital Corporation Common Stock,269.41,43.39
USAS,Americas Gold and Silver Corporation Common Shares no par value,7.38,43.3
MOD,Modine Manufacturing Company Common Stock,199.53,42.07
INNV,InnovAge Holding Corp. Common Stock,7.78,41.97
BE,Bloom Energy Corporation Class A Common Stock,147.35,41.86
BW,Babcock & Wilcox Enterprises Inc. Common Stock,9.27,41.74
GOLD,Gold.com Inc. Common Stock,51.48,41.7
AAP,Advance Auto Parts Inc.,54.52,41.53
TTMI,TTM Technologies Inc. Common Stock,96.22,41.52
CC,Chemours Company (The) Common Stock,17.94,40.82
VG,Venture Global Inc. Class A common stock,9.61,40.7
NEXA,Nexa Resources S.A. Common Shares,12.78,40.29
AXL,American Axle & Manufacturing Holdings Inc. Common Stock,9.0,40.19
TWST,Twist Bioscience Corporation Common Stock,48.12,40.13
HYMC,Hycroft Mining Holding Corporation Class A Common Stock,39.31,39.64
CWH,Camping World Holdings Inc. Class A Common Stock,13.65,39.57
AMN,AMN Healthcare Services Inc,21.05,39.4
TGB,Taseko Mines Ltd. Common Stock,8.37,39.27
ALM,Almonty Industries Inc. Common Shares,13.36,39.02
CRML,Critical Metals Corp. Ordinary Shares,13.03,38.62
TNGX,Tango Therapeutics Inc.,12.32,38.27
LQDA,Liquidia Corporation Common Stock,44.43,38.2
DBVT,DBV Technologies S.A. American Depositary Shares,23.41,37.79
CTMX,CytomX Therapeutics Inc. Common Stock,5.67,37.62
MIRM,Mirum Pharmaceuticals Inc. Common Stock,103.96,37.59
HUYA,HUYA Inc. American depositary shares each  representing one Class A ordinary share,4.36,37.54
BKD,Brookdale Senior Living Inc. Common Stock,14.9,37.45
SIMO,Silicon Motion Technology Corporation American Depositary Shares,128.37,37.18
LGIH,LGI Homes Inc. Common Stock,58.45,36.6
FRO,Frontline Plc Ordinary Shares,28.2,35.64
GLUE,Monte Rosa Therapeutics Inc. Common Stock,19.53,35.63
WLFC,Willis Lease Finance Corporation Common Stock,192.31,35.53
VIAV,Viavi Solutions Inc. Common Stock,24.5,35.28
AMPX,Amprius Technologies Inc. Common Stock,12.4,34.64
KRUS,Kura Sushi USA Inc. Class A Common Stock,76.79,34.6
MLTX,MoonLake Immunotherapeutics Class A Ordinary Shares,15.03,34.32
ALGM,Allegro MicroSystems Inc. Common Stock,38.2,34.27
ARCB,ArcBest Corporation Common Stock,109.55,34.06
IMNM,Immunome Inc. Common Stock,26.41,33.99
ICHR,Ichor Holdings Ordinary Shares,28.01,33.76
DXPE,DXP Enterprises Inc. Common Stock,139.98,33.65
SCL,Stepan Company Common Stock,63.57,33.58
OCS,Oculis Holding AG Ordinary shares,26.37,33.52
AAUC,Allied Gold Corporation Common Shares,31.53,32.98
MRNA,Moderna Inc. Common Stock,42.77,32.95
DNLI,Denali Therapeutics Inc. Common Stock,21.28,32.83
NE,Noble Corporation plc A Ordinary Shares,38.49,32.59
ARRY,Array Technologies Inc. Common Stock,11.96,32.45
SOLS,Solstice Advanced Materials Inc. Common Stock ,65.22,32.21
NTLA,Intellia Therapeutics Inc. Common Stock,12.36,31.91
WS,Worthington Steel Inc. Common Shares,46.46,31.73
