티커,종목명,섹터,산업,현재가,수익률(%)
AIIO,Robo.ai Inc. Class B Ordinary Shares,Industrials,Auto Manufacturing,6.42,920.67
RXT,Rackspace Technology Inc. Common Stock,Technology,Computer Software: Programming Data Processing,7.05,468.44
MXL,MaxLinear Inc. Common Stock,Technology,Semiconductors,87.87,307.56
JLHL,Julong Holding Limited Class A Ordinary Shares,Consumer Discretionary,Military/Government/Technical,20.3,244.07
AGL,agilon health inc. Common Stock,Health Care,Misc Health and Biotechnology Services,77.86,243.3
MRAM,Everspin Technologies Inc. Common Stock,Technology,Semiconductors,39.77,242.84
POET,POET Technologies Inc. Common Shares,Technology,Semiconductors,19.98,197.69
BAND,Bandwidth Inc. Class A Common Stock,Technology,Computer Software: Prepackaged Software,52.67,193.43
WOLF,Wolfspeed Inc. Common Stock New,Technology,Semiconductors,67.38,192.96
EDSA,Edesa Biotech Inc. Common Shares,Health Care,Biotechnology: Pharmaceutical Preparations,14.38,175.48
FCEL,FuelCell Energy Inc. Common Stock,Energy,Industrial Machinery/Components,20.01,174.18
DGXX,Digi Power X Inc. Subordinate Voting Shares,Finance,Finance: Consumer Services,7.42,169.81
EVC,Entravision Communications Corporation Common Stock,Industrials,Broadcasting,9.09,167.35
IPWR,Ideal Power Inc. Common Stock,Technology,Semiconductors,7.18,148.44
VLN,Valens Semiconductor Ltd. Ordinary Shares,Technology,Semiconductors,3.42,148.19
REPL,Replimune Group Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),4.76,144.36
FRMM,Forum Markets Incorporated Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,5.08,140.76
SKLZ,Skillz Inc. Class A Common Stock,Technology,EDP Services,6.7,139.2
AMBQ,Ambiq Micro Inc. Common Stock,Technology,Semiconductors,70.26,134.2
NVTS,Navitas Semiconductor Corporation Common Stock,Technology,Semiconductors,22.12,124.11
SILC,Silicom Ltd Ordinary Shares,Telecommunications,Computer Communications Equipment,50.78,119.18
INOD,Innodata Inc. Common Stock,Technology,EDP Services,90.54,119.13
STKE,Sol Strategies Inc. Common Shares,,,2.35,117.59
SLNH,Soluna Holdings Inc. Common Stock,Technology,EDP Services,2.28,117.13
